year,indicator,category,value
2013,Age range,18-24,25.5
2013,Age range,25-49,19.2
2013,Age range,50-64,25.2
2013,Age range,65 and over,16.0
2013,Education,Low,38.2
2013,Education,Medium,22.3
2013,Education,High,12.0
2013,Activity status,Employed,10.6
2013,Activity status,Unemployed,85.7
2013,Activity status,Retired,17.5
2013,Activity status,Inactive,41.5
2014,sex,Male,19.5
2014,sex,Female,21.8
2014,age,Less than 18,19.6
2014,age,18-24,24.7
2014,age,25-49,20.1
2014,age,50-64,24.0
2014,age,65 and over,17.4
2014,education,Low,39.6
2014,education,Medium,21.9
2014,education,High,12.5
2014,labour,Employed,11.2
2014,labour,Unemployed,84.4
2014,labour,Retired,18.7
2014,labour,Inactive,41.0
2014,Sex,Male,19.5
2014,Sex,Female,21.8
2014,Age range,Less than 18,19.6
2014,Age range,18-24,24.7
2014,Age range,25-49,20.1
2014,Age range,50-64,24.0
2014,Age range,65 and over,17.4
2014,Education,Low,39.6
2014,Education,Medium,21.9
2014,Education,High,12.5
2014,Activity status,Employed,11.2
2014,Activity status,Unemployed,84.4
2014,Activity status,Retired,18.7
2014,Activity status,Inactive,41.0
2015,sex,Male,18.8
2015,sex,Female,21.1
2015,age,Less than 18,18.5
2015,age,18-24,24.6
2015,age,25-49,18.8
2015,age,50-64,23.9
2015,age,65 and over,17.2
2015,education,Low,39.3
2015,education,Medium,21.4
2015,education,High,12.3
2015,labour,Employed,10.1
2015,labour,Unemployed,83.1
2015,labour,Retired,18.7
2015,labour,Inactive,42.1
2015,Sex,Male,18.8
2015,Sex,Female,21.1
2015,Age range,Less than 18,18.5
2015,Age range,18-24,24.6
2015,Age range,25-49,18.8
2015,Age range,50-64,23.9
2015,Age range,65 and over,17.2
2015,Education,Low,39.3
2015,Education,Medium,21.4
2015,Education,High,12.3
2015,Activity status,Employed,10.1
2015,Activity status,Unemployed,83.1
2015,Activity status,Retired,18.7
2015,Activity status,Inactive,42.1
2016,sex,Male,18.1
2016,sex,Female,21.2
2016,age,Less than 18,19.3
2016,age,18-24,23.8
2016,age,25-49,18.5
2016,age,50-64,21.6
2016,age,65 and over,18.3
2016,education,Low,39.9
2016,education,Medium,20.9
2016,education,High,11.4
2016,labour,Employed,9.6
2016,labour,Unemployed,83.3
2016,labour,Retired,19.6
2016,labour,Inactive,40.7
2016,Sex,Male,18.1
2016,Sex,Female,21.2
2016,Age range,Less than 18,19.3
2016,Age range,18-24,23.8
2016,Age range,25-49,18.5
2016,Age range,50-64,21.6
2016,Age range,65 and over,18.3
2016,Education,Low,39.9
2016,Education,Medium,20.9
2016,Education,High,11.4
2016,Activity status,Employed,9.6
2016,Activity status,Unemployed,83.3
2016,Activity status,Retired,19.6
2016,Activity status,Inactive,40.7
2017,sex,Male,17.6
2017,sex,Female,20.3
2017,age,Less than 18,18.0
2017,age,18-24,25.1
2017,age,25-49,17.2
2017,age,50-64,21.3
2017,age,65 and over,17.7
2017,education,Low,38.4
2017,education,Medium,20.5
2017,education,High,11.5
2017,labour,Employed,9.5
2017,labour,Unemployed,81.8
2017,labour,Retired,18.8
2017,labour,Inactive,42.9
2017,Sex,Male,17.6
2017,Sex,Female,20.3
2017,Age range,Less than 18,18.0
2017,Age range,18-24,25.1
2017,Age range,25-49,17.2
2017,Age range,50-64,21.3
2017,Age range,65 and over,17.7
2017,Education,Low,38.4
2017,Education,Medium,20.5
2017,Education,High,11.5
2017,Activity status,Employed,9.5
2017,Activity status,Unemployed,81.8
2017,Activity status,Retired,18.8
2017,Activity status,Inactive,42.9
2018,sex,Male,17.6
2018,sex,Female,19.8
2018,age,Less than 18,17.3
2018,age,18-24,23.9
2018,age,25-49,17.0
2018,age,50-64,20.0
2018,age,65 and over,19.0
2018,education,Low,38.0
2018,education,Medium,20.7
2018,education,High,11.2
2018,labour,Employed,9.7
2018,labour,Unemployed,79.7
2018,labour,Retired,19.8
2018,labour,Inactive,41.4
2018,Sex,Male,17.6
2018,Sex,Female,19.8
2018,Age range,Less than 18,17.3
2018,Age range,18-24,23.9
2018,Age range,25-49,17.0
2018,Age range,50-64,20.0
2018,Age range,65 and over,19.0
2018,Education,Low,38.0
2018,Education,Medium,20.7
2018,Education,High,11.2
2018,Activity status,Employed,9.7
2018,Activity status,Unemployed,79.7
2018,Activity status,Retired,19.8
2018,Activity status,Inactive,41.4
2019,sex,Male,16.3
2019,sex,Female,18.5
2019,age,Less than 18,15.0
2019,age,18-24,22.5
2019,age,25-49,15.3
2019,age,50-64,19.3
2019,age,65 and over,18.7
2019,education,Low,36.0
2019,education,Medium,19.7
2019,education,High,10.5
2019,labour,Employed,8.4
2019,labour,Unemployed,85.4
2019,labour,Retired,19.7
2019,labour,Inactive,39.7
2019,Sex,Male,16.3
2019,Sex,Female,18.5
2019,Age range,Less than 18,15.0
2019,Age range,18-24,22.5
2019,Age range,25-49,15.3
2019,Age range,50-64,19.3
2019,Age range,65 and over,18.7
2019,Education,Low,36.0
2019,Education,Medium,19.7
2019,Education,High,10.5
2019,Activity status,Employed,8.4
2019,Activity status,Unemployed,85.4
2019,Activity status,Retired,19.7
2019,Activity status,Inactive,39.7
2020,sex,Male,20.7
2020,sex,Female,22.4
2020,age,Less than 18,22.7
2020,age,18-24,32.4
2020,age,25-49,19.8
2020,age,50-64,19.1
2020,age,65 and over,21.9
2020,education,Low,36.5
2020,education,Medium,20.9
2020,education,High,12.4
2020,labour,Employed,11.6
2020,labour,Unemployed,75.5
2020,labour,Retired,23.0
2020,labour,Inactive,46.5
2020,Sex,Male,20.7
2020,Sex,Female,22.4
2020,Age range,Less than 18,22.7
2020,Age range,18-24,32.4
2020,Age range,25-49,19.8
2020,Age range,50-64,19.1
2020,Age range,65 and over,21.9
2020,Education,Low,36.5
2020,Education,Medium,20.9
2020,Education,High,12.4
2020,Activity status,Employed,11.6
2020,Activity status,Unemployed,75.5
2020,Activity status,Retired,23.0
2020,Activity status,Inactive,46.5
